"Player","Start","End","Matches","Innings","Dismissals","Caught","CaughtFielder","CaughtBehind","Stumped","MaxDismissalsInnings"
"Aftab Ahmed ",2004,2010,85,85,29,29,29,0,0,3
"TM Alderman ",1981,1991,65,65,29,29,29,0,0,3
"Alok Kapali ",2002,2011,69,69,29,29,29,0,0,2
"RD Berrington ",2008,2019,78,77,29,29,29,0,0,2
"PR Downton ",1977,1988,28,28,29,26,0,26,3,4
"AJ Hall ",1999,2007,88,87,29,29,29,0,0,2
"WW Hinds ",1999,2010,119,119,29,29,29,0,0,2
"DJ Hussey ",2008,2013,69,69,29,29,29,0,0,2
"R Mutumbami ",2014,2020,36,36,29,24,2,22,5,4
"GP Swann ",2000,2013,79,78,29,29,29,0,0,3
"DC Thomas ",2009,2013,21,21,29,23,0,23,6,3
"Ahmed Shehzad ",2009,2017,81,80,28,28,28,0,0,2
"PW Borren ",2006,2014,58,58,28,28,28,0,0,3
"JJ Crowe ",1983,1990,75,74,28,28,28,0,0,2
"AA Donald ",1991,2003,164,162,28,28,28,0,0,2
"GC Dyer ",1986,1988,23,23,28,24,0,24,4,4
"GJ Hopkins ",2004,2010,25,23,28,27,0,27,1,5
"Mohammad Rafique ",1995,2007,125,125,28,28,28,0,0,2
"TM Odoyo ",1996,2014,136,136,28,28,28,0,0,2
"RJ Peterson ",2002,2014,79,79,28,28,28,0,0,2
"LMP Simmons ",2006,2015,68,68,28,28,26,2,0,2
"DW Steyn ",2005,2019,125,124,28,28,28,0,0,2
"BA Young ",1990,1999,74,73,28,28,22,6,0,3
"KLT Arthurton ",1988,1999,105,104,27,27,27,0,0,2
"F Behardien ",2013,2018,59,58,27,27,27,0,0,2
"SCJ Broad ",2006,2016,121,121,27,27,27,0,0,2
"CRD Fernando ",2001,2012,147,146,27,27,27,0,0,3
"Sir RJ Hadlee ",1973,1990,115,113,27,27,27,0,0,2
"AD Hales ",2014,2019,70,68,27,27,27,0,0,2
"KJ Hughes ",1977,1985,97,96,27,27,27,0,0,2
"EC Joyce ",2006,2018,78,75,27,27,27,0,0,2
"B Kumar ",2012,2019,114,113,27,27,27,0,0,2
"Liton Das ",2015,2020,36,36,27,24,16,8,3,4
"CJ McDermott ",1985,1996,138,138,27,27,27,0,0,1
"MR Marsh ",2011,2020,57,57,27,27,27,0,0,4
"Mohammed Shami ",2013,2020,77,76,27,27,27,0,0,2
"M Prabhakar ",1984,1996,130,128,27,27,27,0,0,3
"MJ Santner ",2015,2020,72,71,27,27,27,0,0,2
"MA Starc ",2010,2020,91,91,27,27,27,0,0,2
"Wahab Riaz ",2008,2019,89,88,27,27,27,0,0,2
"CA Walsh ",1985,2000,205,204,27,27,27,0,0,1
"NW Bracken ",2001,2009,116,116,26,26,26,0,0,2
"PAJ DeFreitas ",1987,1997,103,103,26,26,26,0,0,2
"JEC Franklin ",2001,2013,110,109,26,26,26,0,0,2
"Habibul Bashar ",1995,2007,111,111,26,26,26,0,0,2
"Imran Nazir ",1999,2009,79,78,26,26,26,0,0,3
"DS Lehmann ",1996,2005,117,116,26,26,26,0,0,3
"MF Maharoof ",2004,2016,109,107,26,26,26,0,0,2
"LE Plunkett ",2005,2019,89,87,26,26,26,0,0,2
"AG Prince ",2002,2007,52,51,26,26,26,0,0,4
"RA Smith ",1988,1996,71,71,26,26,26,0,0,2
"GP Wickramasinghe ",1990,2002,134,134,26,26,26,0,0,2
"CB Wishart ",1996,2005,90,90,26,26,26,0,0,2
"B Zuiderent ",1996,2011,57,57,26,26,26,0,0,2
"W Barresi ",2010,2019,32,32,25,17,4,13,8,3
"D Gough ",1994,2006,159,157,25,25,25,0,0,1
"JR Hopes ",2005,2010,84,83,25,25,25,0,0,2
"Imran Tahir ",2011,2019,107,104,25,25,25,0,0,2
"DT Johnston ",2006,2013,67,65,25,25,25,0,0,2
"DJ Nash ",1992,2002,81,80,25,25,25,0,0,3
"DW Randall ",1976,1985,49,49,25,25,25,0,0,2
"PR Reiffel ",1992,1999,92,92,25,25,25,0,0,2
"Saeed Ajmal ",2008,2015,113,112,25,25,25,0,0,1
"MP Vaughan ",2001,2007,86,85,25,25,25,0,0,3
"Aaqib Javed ",1988,1998,163,159,24,24,24,0,0,1
"Asghar Afghan ",2009,2019,111,108,24,24,24,0,0,2
"V Dahiya ",2000,2001,19,19,24,19,0,19,5,3
"SS Dighe ",2000,2001,23,23,24,19,0,19,5,4
"NM Hauritz ",2002,2011,58,57,24,24,24,0,0,2
"S Viswanath ",1985,1988,22,22,24,17,0,17,7,5
"Wasim Raja ",1973,1985,54,52,24,24,24,0,0,2
"M Amarnath ",1975,1989,85,84,23,23,23,0,0,2
"SL Campbell ",1994,2001,90,90,23,23,23,0,0,3
"GS Chappell ",1971,1983,74,72,23,23,23,0,0,2
"DD Ebrahim ",2001,2005,82,82,23,23,23,0,0,2
"AH Jones ",1987,1995,87,87,23,23,23,0,0,2
"Junaid Siddique ",2007,2011,54,54,23,23,22,1,0,3
"GR Larsen ",1990,1999,121,121,23,23,23,0,0,1
"S Lee ",1995,2001,45,44,23,23,23,0,0,2
"SV Manjrekar ",1988,1996,74,74,23,23,23,0,0,2
"GRJ Matthews ",1984,1993,59,59,23,23,23,0,0,3
"PJ Moor ",2014,2019,49,48,23,22,6,16,1,4
"JDS Neesham ",2013,2020,63,63,23,23,23,0,0,2
"PA Nixon ",2007,2007,19,19,23,20,0,20,3,2
"DN Patel ",1987,1997,75,75,23,23,23,0,0,2
"SW Poynter ",2014,2019,21,21,23,22,3,19,1,4
"PL Symcox ",1993,1999,80,80,23,23,23,0,0,2
"TJ Zoehrer ",1986,1994,22,22,23,21,0,21,2,4
"Zulqarnain ",1985,1989,16,14,23,18,0,18,5,4
"Afsar Zazai ",2014,2017,17,16,22,20,0,20,2,3
"J Charles ",2012,2016,48,48,22,21,11,10,1,2
"MW Gatting ",1977,1993,92,92,22,22,22,0,0,2
"SM Gavaskar ",1974,1987,108,107,22,22,22,0,0,4
"AF Giles ",1997,2005,62,62,22,22,22,0,0,3
"SE Marsh ",2008,2019,73,73,22,22,22,0,0,2
"PL Mommsen ",2010,2017,44,43,22,22,22,0,0,2
"C Munro ",2013,2019,57,57,22,22,22,0,0,2
"SP O'Donnell ",1985,1991,87,87,22,22,22,0,0,2
"HH Pandya ",2016,2019,54,53,22,22,22,0,0,2
"K Rabada ",2015,2019,75,73,22,22,22,0,0,2
"Rashid Khan ",2015,2019,71,68,22,22,22,0,0,3
"RR Rossouw ",2014,2016,36,35,22,22,22,0,0,4
"MN Waller ",2009,2018,79,79,22,22,22,0,0,1
"RGD Willis ",1973,1984,64,64,22,22,22,0,0,2
"UT Yadav ",2010,2018,75,73,22,22,22,0,0,3
"Abdul Qadir ",1983,1993,104,102,21,21,21,0,0,2
"DL Bairstow ",1979,1984,21,21,21,17,0,17,4,3
"Fakhar Zaman ",2017,2019,46,45,21,21,21,0,0,2
"JP Faulkner ",2013,2017,69,69,21,21,21,0,0,1
