"","Player","Innings","Runs","BallsFaced","Hundreds"
"305","L Ronchi ",68,1397,1220,1
"306","KM Jadhav ",52,1389,1367,2
"307","GP Howarth ",65,1384,2301,0
"308","JD Ryder ",42,1362,1429,3
"309","BC Broad ",34,1361,2447,1
"310","DO Obuya ",73,1355,2135,0
"311","Asad Shafiq ",58,1336,1979,0
"312","PG Fulton ",46,1334,1833,1
"313","Sabbir Rahman ",59,1333,1461,1
"314","HM Nicholls ",47,1329,1625,1
"315","KMDN Kulasekara ",123,1327,1629,0
"316","JR Hopes ",61,1326,1415,0
"317","SM Katich ",42,1324,1926,1
"318","Javed Omar ",59,1312,2528,0
"319","Raqibul Hasan ",54,1308,2133,0
"320","AA Obanda ",45,1306,1764,0
"321","MS Sinclair ",50,1304,2086,2
"322","PN Kirsten ",40,1293,2308,0
"323","JDS Neesham ",54,1286,1314,0
"324","J Charles ",48,1283,1531,2
"325","MJ Prior ",62,1282,1670,0
"326","Nasir Hossain ",52,1281,1605,1
"327","TM Head ",39,1273,1414,1
"328","NR Mongia ",96,1272,1845,0
"329","C Munro ",53,1271,1214,0
"330","JEC Franklin ",80,1270,1651,0
"331","AB Agarkar ",113,1269,1574,0
"332","Shoaib Mohammad ",58,1269,2492,1
"333","Basit Ali ",43,1265,1669,1
"334","MN Waller ",72,1259,1639,0
"335","MD Gunathilaka ",37,1249,1454,2
"336","SP O'Donnell ",64,1242,1534,0
"337","KL Rahul ",31,1239,1423,4
"338","RR Rossouw ",35,1239,1313,3
"339","Harbhajan Singh ",128,1237,1526,0
"340","SG Law ",51,1237,1643,1
"341","Alok Kapali ",66,1235,1817,1
"342","GM Hamilton ",38,1231,1847,2
"343","D Mongia ",51,1230,1721,1
"344","CR Woakes ",69,1226,1358,0
"345","RW Marsh ",76,1225,1489,0
"346","HDPK Dharmasena ",87,1222,1879,0
"347","Shaiman Anwar ",40,1219,1477,1
"348","Noor Ali Zadran ",50,1216,1923,1
"349","TM Moody ",64,1211,1747,0
"350","Junaid Siddique ",53,1196,1753,1
"351","Mohammad Rafique ",106,1191,1663,0
"352","B Lee ",110,1176,1407,0
"353","JA Rudolph ",39,1174,1725,0
"354","Nawroz Mangal ",48,1139,1512,2
"355","MH Cross ",48,1136,1536,2
"356","T Mishra ",40,1128,1534,0
"357","PL Mommsen ",42,1115,1615,2
"358","MF Maharoof ",75,1113,1294,0
"359","CJ Anderson ",45,1109,1020,1
"360","HS Modi ",56,1109,1906,0
"361","ES Szwarczynski ",40,1102,1615,0
"362","VS Solanki ",46,1097,1504,2
"363","B Zuiderent ",56,1097,1873,0
"364","PA Strang ",73,1090,1651,0
"365","G Boycott ",34,1082,2020,1
"366","Liton Das ",36,1079,1133,3
"367","F Behardien ",49,1074,1097,0
"368","NL McCullum ",62,1070,1220,0
"369","Asif Mujtaba ",55,1068,1671,1
"370","DW Randall ",45,1067,1702,0
"371","Hashmatullah Shahidi ",39,1062,1667,0
"372","DS Smith ",45,1059,1506,1
"373","JK Kamande ",72,1055,1685,0
"374","IDS Smith ",77,1055,1061,0
"375","C Kieswetter ",40,1054,1172,1
"376","Anamul Haque ",35,1052,1488,3
"377","MP Stoinis ",38,1050,1143,1
"378","KD Mills ",101,1047,1282,0
"379","JM How ",37,1046,1572,1
"380","Gulbadin Naib ",56,1041,1424,0
"381","AD Russell ",47,1034,794,0
"382","JP Faulkner ",52,1032,990,1
"383","DSBP Kuruppu ",52,1022,1978,0
"384","AG Prince ",41,1018,1502,0
"385","SK Warne ",107,1018,1413,0
"386","SM Patil ",42,1005,1223,0
"387","KOA Powell ",44,1005,1278,0
"388","Rajin Saleh ",43,1005,1833,1
"389","PW Borren ",50,1004,1176,0
"390","NFI McCallum ",42,1002,1451,2
"391","Khaled Mahmud ",72,991,1461,0
"392","BL Cairns ",65,987,941,0
"393","MJ Slater ",42,987,1634,0
"394","MJ Horne ",48,980,1515,0
"395","Akram Khan ",44,976,1721,0
"396","TLW Cooper ",22,976,1391,1
"397","Javed Ahmadi ",41,976,1291,0
"398","Naeem Islam ",51,975,1473,0
"399","DF Watts ",35,974,1559,1
"400","Waqar Younis ",139,969,1445,0
"401","Fawad Alam ",36,966,1297,1
"402","SA Thomson ",52,964,1427,0
"403","JF Mooney ",55,963,1215,0
"404","GM Ritchie ",42,959,1479,0
"405","HH Pandya ",38,957,828,0
"406","RR Watson ",35,956,1286,1
"407","MD Marshall ",83,955,1246,0
"408","SF Mire ",47,955,1190,1
"409","Imad Wasim ",39,952,868,0
"410","MG Johnson ",91,951,987,0
"411","RS Madugalle ",56,950,1574,0
"412","NT Broom ",39,943,1161,1
"413","A Kumble ",136,938,1536,0
"414","CM Spearman ",50,936,1202,0
"415","RV Uthappa ",42,934,1031,0
"416","N Pooran ",23,932,875,1
"417","W Barresi ",31,927,1225,1
"418","AN Kervezee ",36,924,1263,0
"419","MJ Santner ",56,924,1046,0
"420","S Dhaniram ",41,915,1126,0
"421","AJ Hall ",56,905,1206,0
"422","Rashid Khan ",56,905,906,0
"423","DM de Silva ",42,895,1154,0
"424","TD Paine ",35,890,1257,1
"425","JWA Taylor ",26,887,1107,1
"426","AT Carey ",32,884,969,0
"427","J Srinath ",121,883,1109,0
"428","Yashpal Sharma ",40,883,1401,0
"429","TT Bresnan ",64,871,965,0
"430","SHT Kandamby ",36,870,1250,0
"431","AC Voges ",28,870,998,1
"432","DJ Richardson ",77,868,1298,0
"433","MA Vermeulen ",43,868,1227,0
"434","HK Badani ",36,867,1180,1
"435","GO Jones ",43,862,1117,0
"436","TT Samaraweera ",42,862,1244,2
"437","SB Smith ",24,861,1319,2
"438","DL Amiss ",18,859,1185,4
"439","RA Harper ",73,855,1162,0
"440","WB Phillips ",41,852,994,0
"441","CWJ Athey ",30,848,1495,2
"442","RS Kalpage ",69,844,1320,0
"443","MAR Samarasekera ",39,844,1207,0
"444","D Ganga ",34,843,1414,0
"445","CA Ingram ",29,843,1024,3
"446","BM McMillan ",52,841,1147,1
"447","CK Coventry ",35,831,937,1
"448","Anshuman Rath ",18,828,1080,1
"449","PJ Moor ",45,827,1225,0
"450","DW Hookes ",36,826,1146,0
"451","PJ Hughes ",24,826,1100,2
"452","AI Kallicharran ",28,826,1329,0
"453","JR Ratnayeke ",69,824,1571,0
"454","GN Yallop ",27,823,1288,0
"455","Muhammad Usman ",32,818,1074,0
"456","AC Waller ",38,818,1172,0
"457","Sharjeel Khan ",25,812,716,1
"458","YK Pathan ",41,810,713,2
"459","JM Davison ",32,799,767,1
"460","Aminul Islam ",39,794,1403,0
"461","Z Khan ",101,792,1078,0
"462","GB Hogg ",65,790,1005,0
"463","Majid Khan ",22,786,1052,1
"464","S Wettimuny ",33,786,1636,0
"465","Babar Hayat ",22,784,999,0
"466","R Lamba ",31,783,1166,1
"467","IH Romaine ",34,783,1222,1
"468","JA Morkel ",43,782,780,0
"469","Wasim Raja ",45,782,1168,0
"470","Abdur Razzak ",97,779,1020,0
"471","AR White ",46,776,1235,0
"472","Saleem Yousuf ",62,768,1024,0
"473","CN Evans ",47,764,1006,0
"474","Rizwan Cheema ",32,764,685,0
"475","KWR Fletcher ",22,757,1134,1
"476","J Dyson ",27,755,1553,0
"477","Rohan Mustafa ",35,754,1091,1
"478","SS Iyer ",16,748,742,1
"479","AR Cusack ",47,745,1159,0
"480","AG Cremer ",71,744,1196,0
"481","G Fowler ",26,744,1321,0
"482","DT Johnston ",53,743,785,0
"483","Manzoor Elahi ",46,741,827,0
"484","AM Samad ",27,740,1045,1
"485","A Vala ",27,739,1082,1
"486","PA Patel ",34,736,962,0
"487","Sohaib Maqsood ",25,735,881,0
"488","MW Machan ",22,734,952,1
"489","CJ Nevin ",36,732,1000,0
"490","C de Grandhomme ",33,722,654,0
"491","CJ Tavare ",28,720,1471,0
"492","TP Ura ",26,718,892,1
"493","MA Ealham ",45,716,1092,0
"494","IJ Harvey ",51,715,811,0
"495","Saqlain Mushtaq ",98,711,1434,0
"496","HE van der Dussen ",16,707,864,0
"497","LJ Wright ",39,707,820,0
"498","Mohammad Rizwan ",28,705,787,2
"499","J Mubarak ",37,704,1115,0
"500","PA Wallace ",33,701,1151,1
"501","SM Ervine ",34,698,816,1
"502","PL Symcox ",54,694,830,0
"503","Rameez Shahzad ",15,691,817,2
"504","PAJ DeFreitas ",66,690,823,0
"505","FDM Karunaratne ",27,683,920,0
"506","N Deonarine ",29,682,989,0
"507","Wahab Riaz ",64,680,787,0
"508","TG Southee ",86,679,696,0
"509","JR Murray ",36,678,929,0
"510","R Ashwin ",61,675,776,0
"511","Nizakat Khan ",20,675,814,0
"512","M Muralitharan ",162,674,869,0
"513","IM Chappell ",16,673,874,0
"514","DA Marillier ",41,672,949,1
"515","R Powell ",31,670,806,1
"516","UC Hathurusingha ",33,669,1318,0
"517","AC Botha ",38,666,970,0
"518","CJ Ferguson ",25,663,777,0
"519","WIA Fernando ",18,653,676,2
"520","RW Chakabva ",38,646,1085,0
"521","LE Plunkett ",50,646,629,0
"522","S Ramesh ",24,646,1092,0
"523","AK Markram ",24,643,755,0
"524","Qasim Umar ",31,642,1125,0
"525","Abdul Qadir ",68,641,849,0
"526","DL Hemp ",22,641,912,1
"527","CEL Ambrose ",96,639,985,0
"528","BMAJ Mendis ",44,636,769,0
"529","JF Reid ",24,633,1084,0
"530","DLS van Bunge ",31,633,953,0
"531","PSP Handscomb ",20,632,649,1
"532","RMH Binny ",49,629,1046,0
"533","GR Larsen ",70,629,970,0
"534","AM Blignaut ",41,626,589,0
"535","DJ Nash ",53,624,940,0
"536","DN Patel ",63,623,868,0
"537","Aqib Ilyas ",11,621,768,2
"538","RR Patel ",35,621,978,0
"539","GRJ Matthews ",50,619,911,0
"540","R Mutumbami ",34,618,847,0
"541","WV Raman ",27,617,1109,1
"542","GJ Rennie ",37,617,928,0
"543","SFAF Bacchus ",26,612,928,0
"544","RJ Ratnayake ",55,612,705,0
"545","J Botha ",50,609,710,0
"546","D Gough ",87,609,947,0
"547","AJ Hollioake ",30,606,807,0
"548","RIC Holder ",31,599,876,0
"549","RT Robinson ",26,597,1026,0
"550","XM Marshall ",37,596,902,1
"551","BM Laird ",23,594,1105,1
"552","Mansoor Akhtar ",35,593,1148,0
"553","W Larkins ",24,591,1047,1
"554","LOB Cann ",25,590,504,0
"555","AU Rashid ",44,590,584,0
"556","RJ Nicol ",21,586,776,2
"557","SB Joshi ",45,584,653,0
"558","RT Latham ",33,583,1008,0
"559","Khurram Khan ",16,582,725,1
"560","JL Carter ",28,581,822,0
"561","GH Dockrell ",57,579,835,0
"562","DAS Gunaratne ",25,575,724,1
"563","BJ Hodge ",21,575,657,1
"564","Mohammad Mithun ",23,575,718,0
"565","MJR Rindel ",22,575,860,1
"566","Tushar Imran ",40,574,970,0
"567","BJ Watling ",25,573,838,0
"568","C White ",41,568,928,0
"569","SL Malinga ",119,567,761,0
"570","RM Haq ",40,566,931,0
"571","KS More ",65,563,808,0
"572","AL Phehlukwayo ",34,563,643,0
"573","HG Munsey ",25,562,732,0
"574","CR Brathwaite ",37,559,614,1
"575","Mominul Haque ",26,557,749,0
"576","Aamer Malik ",23,556,989,0
"577","RJ Peterson ",41,556,688,0
"578","GS Blewett ",30,551,889,0
"579","JN Mohammed ",24,551,795,0
"580","Mosaddek Hossain ",30,549,633,0
"581","TJ Friend ",39,548,724,0
"582","T Duffin ",23,546,993,0
"583","Mohammad Wasim ",25,543,1043,0
"584","AP Kuiper ",23,539,662,0
"585","P Willey ",24,538,855,0
"586","MC Snedden ",54,535,843,0
"587","Athar Ali Khan ",19,532,945,0
"588","IS Billcliff ",19,529,793,0
"589","SCJ Broad ",68,529,709,0
"590","NN Odhiambo ",53,528,737,0
"591","B Kumar ",52,526,703,0
"592","Naved-ul-Hasan ",51,524,620,0
"593","Amjad Ali ",17,520,680,0
"594","RL Chase ",23,520,679,0
"595","LK Germon ",31,519,787,0
"596","Mudassar Bukhari ",34,516,671,0
"597","TAM Siriwardana ",24,516,525,0
"598","KM Dabengwa ",34,514,851,0
"599","PK Amre ",30,513,799,0
"600","Dawlat Zadran ",56,513,664,0
"601","KD Walters ",24,513,732,0
"602","JG Bracewell ",43,512,717,0
"603","DP Viljoen ",43,512,827,0
"604","JM Brearley ",24,510,1120,0
"605","WD Parnell ",38,508,648,0
"606","RR Hendricks ",21,507,665,1
"607","AO Suji ",46,506,977,0
"608","AN Petersen ",19,504,610,0
"609","Taufeeq Umar ",22,504,895,0
"610","PR Reiffel ",57,503,709,0
"611","AR Nurse ",40,502,513,0
"612","JE Emburey ",45,501,664,0
"613","Ghulam Shabber ",23,500,800,0
"614","GP Swann ",48,500,553,0
"615","JH Davey ",28,497,742,0
"616","JJ Tucker ",26,496,726,0
"617","DJ Callaghan ",25,493,726,1
"618","H Klaasen ",16,493,520,1
"619","MK Pandey ",21,492,535,1
"620","Naimur Rahman ",27,488,771,0
"621","JWM Dalrymple ",26,487,672,0
"622","AC Cummins ",49,486,586,0
"623","R McLaren ",41,485,680,0
"624","MRJ Veletta ",19,484,642,0
"625","CS Baugh ",35,482,719,0
"626","AA Mulla ",24,482,595,0
"627","SR Patel ",22,482,517,0
"628","CD Wallace ",24,482,527,0
"629","DJ Reekers ",19,481,411,1
"630","TN de Grooth ",32,480,774,0
"631","DA Minors ",20,478,791,0
"632","BG Rogers ",15,478,689,0
"633","S Lee ",35,477,500,0
"634","Karim Sadiq ",22,475,587,2
"635","MA Leask ",28,474,437,0
"636","CA Best ",23,473,690,1
"637","AJ Bichel ",36,471,600,0
"638","L Siaka ",25,471,626,1
"639","H Patel ",23,468,584,0
"640","MD Shanaka ",19,468,404,0
"641","CH Morris ",27,467,465,0
"642","ALF de Mel ",41,466,595,0
"643","AO Malhotra ",19,457,645,0
"644","Umar Gul ",65,457,642,0
"645","C Sharma ",35,456,504,1
"646","GEF Barnett ",22,455,745,0
"647","R Gunasekera ",19,455,677,0
"648","MD Dai ",18,454,585,0
"649","Minhajul Abedin ",26,453,909,0
"650","Mehrab Hossain ",18,449,763,1
"651","SW Ambris ",12,447,460,1
"652","JL Denly ",13,446,629,0
"653","TE Blain ",38,442,662,0
"654","SAR Silva ",20,441,838,0
"655","GR Viswanath ",23,439,830,0
"656","JP Maher ",20,438,673,0
"657","AH Omarshah ",28,437,860,0
"658","PL Taylor ",47,437,583,0
"659","DN Chudasama ",19,434,685,1
"660","CJ McDermott ",78,432,492,0
"661","CJO Smith ",26,432,640,0
"662","Shafiqullah ",21,430,408,0
