"","Player","Start","End","Matches","Innings","NotOuts","Runs","HighScore","HighScoreNotOut","Average","BallsFaced","StrikeRate","Hundreds","Fifties","Ducks"
"225","Yasir Hameed ",2003,2007,56,56,1,2028,127,TRUE,36.8727272727273,3029,66.9527896995708,3,12,2
"226","WPUJC Vaas ",1994,2008,322,220,72,2025,50,TRUE,13.6824324324324,2796,72.4248927038627,0,1,25
"227","KO Otieno ",1996,2009,90,87,1,2016,144,FALSE,23.4418604651163,3561,56.6133108677338,2,12,12
"228","SV Manjrekar ",1988,1996,74,70,10,1994,105,FALSE,33.2333333333333,3101,64.3018381167365,1,15,3
"229","MP Vaughan ",2001,2007,86,83,10,1982,90,TRUE,27.1506849315068,2898,68.391994478951,0,16,9
"230","CH Lloyd ",1973,1985,87,69,19,1977,102,FALSE,39.54,2434,81.2243221035333,1,11,1
"231","GD Elliott ",2008,2016,83,69,11,1976,115,FALSE,34.0689655172414,2416,81.7880794701987,2,11,6
"232","KJ Hughes ",1977,1985,97,88,6,1968,98,FALSE,24,2919,67.4203494347379,0,17,12
"233","A Bagai ",2003,2013,62,60,8,1964,137,TRUE,37.7692307692308,2995,65.575959933222,2,16,2
"234","Fakhar Zaman ",2017,2019,46,46,4,1958,210,TRUE,46.6190476190476,2056,95.2334630350195,4,13,5
"235","LMP Simmons ",2006,2015,68,65,3,1958,122,FALSE,31.5806451612903,2680,73.0597014925373,2,16,9
